"Statistic Label","Age Group","Sex","Regional Authority Area","Year","UNIT","VALUE"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","1997","Thousand","20.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","1998","Thousand","19.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","1999","Thousand","18.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2000","Thousand","18.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2001","Thousand","18.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2002","Thousand","17.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2003","Thousand","17.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2004","Thousand","17.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2005","Thousand","17.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2006","Thousand","17.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2007","Thousand","18.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2008","Thousand","18.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2009","Thousand","19.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2010","Thousand","20"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2011","Thousand","20.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2012","Thousand","21.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2013","Thousand","21.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2014","Thousand","21.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2015","Thousand","21.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2016","Thousand","21.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Midland","2017","Thousand","22.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","1996","Thousand","33.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","1997","Thousand","32.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","1998","Thousand","31.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","1999","Thousand","30.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2000","Thousand","30.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2001","Thousand","29.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2002","Thousand","29"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2003","Thousand","28.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2004","Thousand","28.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2005","Thousand","27.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2006","Thousand","27.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2007","Thousand","27.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2008","Thousand","27.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2009","Thousand","28.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2010","Thousand","28.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2011","Thousand","29"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2012","Thousand","29.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2013","Thousand","29.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2014","Thousand","29.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2015","Thousand","30.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2016","Thousand","30.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","West","2017","Thousand","30.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","1996","Thousand","84"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","1997","Thousand","80.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","1998","Thousand","78.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","1999","Thousand","76.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2000","Thousand","75.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2001","Thousand","74.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2002","Thousand","73"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2003","Thousand","71.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2004","Thousand","69.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2005","Thousand","68.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2006","Thousand","67.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2007","Thousand","68.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2008","Thousand","69.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2009","Thousand","71"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2010","Thousand","72.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2011","Thousand","72.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2012","Thousand","73.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2013","Thousand","73.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2014","Thousand","74"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2015","Thousand","76.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2016","Thousand","77.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Dublin","2017","Thousand","78.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","1996","Thousand","34.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","1997","Thousand","34.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","1998","Thousand","33.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","1999","Thousand","32.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2000","Thousand","32"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2001","Thousand","32.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2002","Thousand","31.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2003","Thousand","31.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2004","Thousand","31.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2005","Thousand","32.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2006","Thousand","32.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2007","Thousand","32.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2008","Thousand","34"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2009","Thousand","35.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2010","Thousand","36.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2011","Thousand","38.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2012","Thousand","39.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2013","Thousand","40.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2014","Thousand","41.3"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2015","Thousand","42.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2016","Thousand","42.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-East","2017","Thousand","43.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","1996","Thousand","29.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","1997","Thousand","28.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","1998","Thousand","27.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","1999","Thousand","26.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2000","Thousand","26"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2001","Thousand","25.5"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2002","Thousand","24.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2003","Thousand","24.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2004","Thousand","24.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2005","Thousand","24.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2006","Thousand","23.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2007","Thousand","24.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2008","Thousand","24.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2009","Thousand","25.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2010","Thousand","25.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2011","Thousand","25.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2012","Thousand","25.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2013","Thousand","25.8"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2014","Thousand","26"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2015","Thousand","26"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2016","Thousand","26.2"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","Mid-West","2017","Thousand","26.7"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","South-East","1996","Thousand","36.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","South-East","1997","Thousand","36"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","South-East","1998","Thousand","34.9"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","South-East","1999","Thousand","34.1"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","South-East","2000","Thousand","33.6"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","South-East","2001","Thousand","33.4"
"Estimated Population (Persons in April)","10 - 14 years","Both sexes","South-East","2002","Thousand","33"
